,ID,Mesto,Okres,Druh,Stav,Ulica,Vytah,Ener_cert,Uzit_plocha,Latitude,Longitude,Cena,Rok_vystavby,Podlazie,Pocet_nadzem_podlazi,Lodzia,Balkon,Garazove_statie,Kurenie,Garaz
0,nehnutelnosti.sk_4213053,Bratislava IV - Dubravka,okres Bratislava,2 izbovy byt,Čiastočná rekonštrukcia,Hanulova,Ano,B,35,48.17837374,17.04076237,111900,1975,4,12,,,,,
1,nehnutelnosti.sk_4213543,Bratislava III - Nove Mesto,okres Bratislava,2 izbovy byt,Vo výstavbe,Skalicka cesta,,,54,48.1827989,17.1278896,193399,255,1,4,,,,,
2,nehnutelnosti.sk_4222169,Bratislava III - Nove Mesto,okres Bratislava,Garsonka,Novostavba,Racianska,Ano,A,33,48.18002801181,17.128899402745,90000,2013,3,5,,,,,
3,nehnutelnosti.sk_4242533,Bratislava V - Petrzalka,okres Bratislava,1 izbovy byt,Novostavba,Budatinska,,B,53,48.1061044,17.1012412,143000,,,,,,,,
4,nehnutelnosti.sk_4214334,Bratislava II - Ruzinov,okres Bratislava,2 izbovy byt,Čiastočná rekonštrukcia,Sandorova,,,53,48.1559048,17.1756396,155000,,,,,,,,
5,nehnutelnosti.sk_4213338,Bratislava I - Stare Mesto,okres Bratislava,3 izbovy byt,Novostavba,Karadzicova,Ano,,94,48.145197090221,17.123455567055,440000,,5,,,,,,
6,nehnutelnosti.sk_4018302,Bratislava V - Petrzalka,okres Bratislava,2 izbovy byt,Pôvodný stav,Rusovska cesta,,,45,48.1292641,17.0933911,140000,,,,,,,,
7,nehnutelnosti.sk_4204915,Bratislava II - Podunajske Biskupice,okres Bratislava,3 izbovy byt,Čiastočná rekonštrukcia,Hornadska,,,72,48.1360874,17.2142566,127900,,,,,,,,
8,nehnutelnosti.sk_4221694,Bratislava III - Nove Mesto,okres Bratislava,Garsonka,Kompletná rekonštrukcia,Racianska,Ano,A,33,48.18002801181,17.128899402745,90000,2013,3,,3 m,,,,
9,nehnutelnosti.sk_4211280,Bratislava I - Stare Mesto,okres Bratislava,3 izbovy byt,Developerský projekt,Drotarska cesta,,A,121,48.152873,17.09130923,429000,,,,,,,,
10,nehnutelnosti.sk_4227009,Bratislava V - Petrzalka,okres Bratislava,3 izbovy byt,Kompletná rekonštrukcia,Rovniankova,,,69,48.112703945276,17.109364938223,189900,,7,12,,3 m,,,
11,nehnutelnosti.sk_4150499,Bratislava IV - Devinska Nova Ves,okres Bratislava,2 izbovy byt,Vo výstavbe,Bystricka,,,45,48.2243439,16.9798494,141000,,2,5,,,,,
12,nehnutelnosti.sk_4089827,Bratislava II - Ruzinov,okres Bratislava,3 izbovy byt,Vo výstavbe,Bajkalska,,,63,48.1542939,17.1455133,217420,2020,4,5,,,Ano,,
13,nehnutelnosti.sk_4166880,Bratislava V - Petrzalka,okres Bratislava,4 izbovy byt,Novostavba,Fialova,Ano,,105,48.0898622,17.124725,344750,,6,6,,Ano,,Ustredne,
14,nehnutelnosti.sk_4232290,Bratislava II - Ruzinov,okres Bratislava,3 izbovy byt,Pôvodný stav,Martincekova,Ano,,66,48.1498251,17.1481454,192000,,3,6,Ano,,,,
